Comment,Designator,Footprint,LCSC
100pF,"C7",C_0402,C1546
NRF52832,"U1",QFN40P600X600X90-48_N,C77540
12pF,"C1,C2,C11,C12",C_0402,C85873
0.8pF,"C3",C_0402,C88902
1µF,"C10",C_0402,C92755
1uF,"C15",C_0402,C92755
1M,"R5",R_0402,C93949
2.7nH,"L2",L_0402,C98058
4.7µF,"C9",C_0603,C109456
R_Pack04,"RN1",R_Array_Convex_4x0603,C110021
3.3nH,"L1",L_0402,C162542
330,"R2,R3,R4,R6",R_0402,C168225
10uF,"C18,C19",C_0603,C326057
TLV75533PDBVR,"U3",SOT-23-5,C404027
100nF,"C4,C5,C8,C13,C16,C17,C20",C_0402,C541464
W25Q32JVZP,"U5",WSON-8,C2689660
