"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R5";"R_0402_1005Metric";1;"1M";;;
2;"R4,R3,R2,R6";"R_0402_1005Metric";4;"330";;;
3;"C13,C20,C17,C16,C4,C5,C8";"RESC0402_N";7;"100nF";;;
4;"J2";"PinHeader_2x05_P1.27mm_Vertical_SMD";1;"Conn_02x05_Odd_Even";;;
5;"C19,C18";"C_0603_1608Metric";2;"10uF";;;
6;"C15";"RESC0402_N";1;"1uF";;;
7;"C10";"RESC0402_N";1;"1µF";;;
8;"U4";"SPU0410HR5H";1;"SPU0410HR5H";;;
9;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"Battery";;;
10;"RN1";"R_Array_Convex_4x0603";1;"R_Pack04";;;
11;"D1";"LED_Cree-PLCC4_2x2mm_CW";1;"ASMB-MTB0-0A3A2";;;
12;"J3";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Male";;;
13;"L2";"RESC0402_N";1;"2.7nH";;;
14;"AE1";"ANT_2450AT18B100";1;"Antenna_Chip";;;
15;"U5";"WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm";1;"W25Q32JVZP";;;
16;"U3";"SOT-23-5";1;"TLV75533PDBVR";;;
17;"U2";"LED_BUTTON";1;"LED-Button";;;
18;"U1";"QFN40P600X600X90-48_N";1;"NRF52832";;;
19;"X1";"BT-XTAL_2016_N";1;"32MHz";;;
20;"L1";"RESC0402_N";1;"3.3nH";;;
21;"C2,C1,C11,C12";"RESC0402_N";4;"12pF";;;
22;"C3";"RESC0402_N";1;"1.2pF";;;
23;"C6";"RESC0402_N";1;"N.M.";;;
24;"C7";"RESC0402_N";1;"100pF";;;
25;"C9";"RESC0603_N";1;"4.7µF";;;
26;"X2";"XTAL_3215_N";1;"32.768kHz";;;
