Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10pF,RESC0402_N,157.3011,-100.8036,270,top
C2,10pF,RESC0402_N,153.3011,-100.8036,90,top
C3,1.2pF,RESC0402_N,156.7688,-108.8898,180,top
C4,100nF,RESC0402_N,144.9011,-103.6036,180,top
C5,100nF,RESC0402_N,146.346,-110.1344,180,top
C7,100pF,RESC0402_N,155.3011,-102.7036,0,top
C8,100nF,RESC0402_N,152.3011,-100.8036,90,top
C9,"4,7uF",RESC0603_N,144.9011,-101.981,180,top
C10,1uF,RESC0402_N,148.6408,-101.346,0,top
C11,10pF,RESC0402_N,138.5824,-101.3968,0,top
C12,10pF,RESC0402_N,139.2011,-103.1036,270,top
C13,100nF,RESC0402_N,150.5966,-96.139,0,top
C15,1uF,RESC0402_N,144.526,-116.6622,270,top
C16,100nF,RESC0402_N,145.5166,-116.6876,270,top
C17,100nF,RESC0402_N,142.6464,-105.41,180,top
C18,10uF,C_0603_1608Metric,139.7508,-107.3658,270,top
C19,10uF,C_0603_1608Metric,141.1478,-107.3404,270,top
C20,100nF,RESC0402_N,139.0904,-114.0372,270,top
L1,"3,3nH",RESC0402_N,155.3972,-110.109,270,top
R2,330,R_0402_1005Metric,139.065,-112.0672,90,top
R3,330,R_0402_1005Metric,137.0838,-98.0948,270,top
R4,330,R_0402_1005Metric,150.5458,-97.1042,0,top
R5,1M,R_0402_1005Metric,150.599,-98.2472,0,top
R6,330,R_0402_1005Metric,144.5768,-105.6132,0,top
RN1,R_Pack04,R_Array_Convex_4x0603,148.2344,-113.1824,180,top
U1,NRF52832,QFN40P600X600X90-48_N,149.5011,-106.0036,270,top
U3,TLV75533PDBVR,SOT-23-5,136.99,-107.442,180,top
U5,W25Q32JVZP,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,142.5702,-112.1664,270,top
