Designator, Value, Footprint, LCSC
C1,10uF,Capacitor_SMD:C_0402_1005Metric,C15525
C10,10pF,Capacitor_SMD:C_0402_1005Metric,C32949
C11,10pF,Capacitor_SMD:C_0402_1005Metric,C32949
C12,10pF,Capacitor_SMD:C_0402_1005Metric,C32949
C13,10pF,Capacitor_SMD:C_0402_1005Metric,C32949
C14,0.8pF,Capacitor_SMD:C_0402_1005Metric,C326068
C15,100nF,Capacitor_SMD:C_0402_1005Metric,C1525
C16,100nF,Capacitor_SMD:C_0402_1005Metric,C1525
C17,1uF,Capacitor_SMD:C_0402_1005Metric,C52923
C18,100nF,Capacitor_SMD:C_0402_1005Metric,C1525
C19,1uF,Capacitor_SMD:C_0402_1005Metric,C52923
C2,10uF,Capacitor_SMD:C_0402_1005Metric,C15525
C20,4.7uF,Capacitor_SMD:C_0402_1005Metric,C23733
C21,4.7uF,Capacitor_SMD:C_0402_1005Metric,C23733
C3,100nF,Capacitor_SMD:C_0402_1005Metric,C1525
C4,1µF,Capacitor_SMD:C_0402_1005Metric,C92755
C5,4.7µF,Capacitor_SMD:C_0402_1005Metric,C77004
C6,100nF,Capacitor_SMD:C_0402_1005Metric,C1525
C7,100pF,Capacitor_SMD:C_0402_1005Metric,C1546
C9,100nF,Capacitor_SMD:C_0402_1005Metric,C1525
D2,"BAS40-05,215",Package_TO_SOT_SMD:SOT-23,C85391
D3,LED,LED_SMD:LED_0603_1608Metric,C72043
L2,3.3nH,Capacitor_SMD:C_0402_1005Metric,C162542
R1,100K,Resistor_SMD:R_0402_1005Metric,C25741
R10,100K,Resistor_SMD:R_0402_1005Metric,C25741
R11,100K,Resistor_SMD:R_0402_1005Metric,C25741
R2,100K,Resistor_SMD:R_0402_1005Metric,C25741
R3,330,Resistor_SMD:R_0402_1005Metric,C25104
R4,10K,Resistor_SMD:R_0402_1005Metric,C25744
R5,1.6K,Resistor_SMD:R_0402_1005Metric,C25867
R6,1.13K,Resistor_SMD:R_0402_1005Metric,C67014
R7,10K,Resistor_SMD:R_0402_1005Metric,C25744
R8,1.18K,Resistor_SMD:R_0402_1005Metric,C270651
R9,1K,Resistor_SMD:R_0402_1005Metric,C11702
RN1,R_Pack04,Resistor_SMD:R_Array_Convex_4x0402,C25726
S1,KMR221GLFS,SW_KMR221GLFS,C72443
U1,NRF52832,qfn48,C77540
U2,W25Q32JVZP,wson8,C2689660
U3,TLV75533PDBVR,Package_TO_SOT_SMD:SOT-23-5,C404027
U4,BQ24078RGTR,vqfn16,C15464
C8,N.M.,Capacitor_SMD:C_0402_1005Metric,
D1,ASMB-LTC2-0A335,nRF52832_qfaa:LED_Cree-PLCC4_2x2mm_CW,
H1,MountingHole,nRF52832_qfaa:MountingHole_1mm,
H2,MountingHole,nRF52832_qfaa:MountingHole_1mm,
J2,Conn_02x05_Odd_Even,Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical_SMD,
JP1,Jumper_2_Open,Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
MK1,SPM1423HM4H,Sensor_Audio:ST_HLGA-6_3.76x4.72mm_P1.65mm,
TP1,b+,TestPoint:TestPoint_Pad_D1.0mm,
TP2,chg,TestPoint:TestPoint_Pad_D1.0mm,
TP3,b-,TestPoint:TestPoint_Pad_D1.0mm,
TP4,gnd,TestPoint:TestPoint_Pad_D1.0mm,
TP5,Antenna,TestPoint:TestPoint_Pad_D1.0mm,
TP6,TestPoint,TestPoint:TestPoint_Pad_D1.0mm,
TP7,TestPoint,TestPoint:TestPoint_Pad_D1.0mm,
TP8,TestPoint,TestPoint:TestPoint_Pad_D1.0mm,
X1,32.768kHz,nRF52832_qfaa:XTAL_3215_N,
X2,32MHz,nRF52832_qfaa:BT-XTAL_2016_N,
