Designator,Value,Footprint,LCSC
R9,1K,Resistor_SMD:R_0402_1005Metric,C11702
C3,100nF,Capacitor_SMD:C_0402_1005Metric,C1525
C6,100nF,Capacitor_SMD:C_0402_1005Metric,C1525
C9,100nF,Capacitor_SMD:C_0402_1005Metric,C1525
C15,100nF,Capacitor_SMD:C_0402_1005Metric,C1525
C16,100nF,Capacitor_SMD:C_0402_1005Metric,C1525
C18,100nF,Capacitor_SMD:C_0402_1005Metric,C1525
C7,100pF,Capacitor_SMD:C_0402_1005Metric,C1546
C23,100pF,Capacitor_SMD:C_0402_1005Metric,C1546
U4,BQ24078RGTR,VQFN-16-1EP,C15464
C1,10uF,Capacitor_SMD:C_0402_1005Metric,C15525
C2,10uF,Capacitor_SMD:C_0402_1005Metric,C15525
L2,3.3nH,Capacitor_SMD:C_0402_1005Metric,C162542
C20,4.7uF,Capacitor_SMD:C_0402_1005Metric,C23733
C21,4.7uF,Capacitor_SMD:C_0402_1005Metric,C23733
R3,330,Resistor_SMD:R_0402_1005Metric,C25104
R13,330,Resistor_SMD:R_0402_1005Metric,C25104
RN1,R_Pack04,Resistor_SMD:R_Array_Convex_4x0402,C25726
R1,100K,Resistor_SMD:R_0402_1005Metric,C25741
R10,100K,Resistor_SMD:R_0402_1005Metric,C25741
R11,100K,Resistor_SMD:R_0402_1005Metric,C25741
R7,10K,Resistor_SMD:R_0402_1005Metric,C25744
R5,1.6K,Resistor_SMD:R_0402_1005Metric,C25867
U2,W25Q32JVZP,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,C2689660
R8,1.18K,Resistor_SMD:R_0402_1005Metric,C270651
C14,0.8pF,Capacitor_SMD:C_0402_1005Metric,C326068
C10,10pF,Capacitor_SMD:C_0402_1005Metric,C32949
C11,10pF,Capacitor_SMD:C_0402_1005Metric,C32949
C12,10pF,Capacitor_SMD:C_0402_1005Metric,C32949
C13,10pF,Capacitor_SMD:C_0402_1005Metric,C32949
U3,TLV75533PDBVR,Package_TO_SOT_SMD:SOT-23-5,C404027
C17,1uF,Capacitor_SMD:C_0402_1005Metric,C52923
C19,1uF,Capacitor_SMD:C_0402_1005Metric,C52923
R6,1.13K,Resistor_SMD:R_0402_1005Metric,C67014
D3,LED,LED_SMD:LED_0603_1608Metric,C72043
C5,4.7µF,Capacitor_SMD:C_0402_1005Metric,C77004
U1,NRF52832,nRF52832_qfaa:QFN40P600X600X90-48_N,C77540
D2,"BAS40-05,215",Package_TO_SOT_SMD:SOT-23,C78265
C4,1µF,Capacitor_SMD:C_0402_1005Metric,C92755
