Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0402_1005Metric",63.931800,-40.106600,-90.000000,top
"C2","10uF","C_0402_1005Metric",45.512840,-39.878000,-90.000000,top
"C3","100nF","C_0402_1005Metric",58.409840,-37.566600,180.000000,top
"C4","1µF","C_0402_1005Metric",46.528840,-39.598600,-90.000000,top
"C5","4.7µF","C_0402_1005Metric",47.544840,-39.598600,-90.000000,top
"C6","100nF","C_0402_1005Metric",42.149880,-38.582600,-90.000000,top
"C7","100pF","C_0402_1005Metric",38.974880,-36.296600,180.000000,top
"C8","N.M.","C_0402_1005Metric",38.847880,-35.280600,180.000000,top
"C9","100nF","C_0402_1005Metric",48.560840,-39.316600,90.000000,top
"C10","10pF","C_0402_1005Metric",40.404840,-40.487600,180.000000,top
"C11","10pF","C_0402_1005Metric",50.114200,-40.757960,180.000000,top
"C12","10pF","C_0402_1005Metric",52.019200,-40.757960,0.000000,top
"C13","10pF","C_0402_1005Metric",38.720880,-38.864600,-90.000000,top
"C14","0.8pF","C_0402_1005Metric",40.150840,-34.137600,0.000000,top
"C15","100nF","C_0402_1005Metric",35.168840,-39.811960,0.000000,top
"C16","100nF","C_0402_1005Metric",49.195840,-30.962600,90.000000,top
"C17","1uF","C_0402_1005Metric",62.280800,-36.296600,90.000000,top
"C18","100nF","C_0402_1005Metric",60.756800,-36.804600,180.000000,top
"C19","1uF","C_0402_1005Metric",68.503800,-33.200600,180.000000,top
"C20","4.7uF","C_0402_1005Metric",62.153800,-30.454600,-90.000000,top
"C21","4.7uF","C_0402_1005Metric",69.265800,-38.836600,90.000000,top
"C22","DNP","C_0402_1005Metric",39.063840,-32.105600,0.000000,top
"C23","100pF","C_0402_1005Metric",64.124840,-37.906960,-90.000000,top
"D1","ASMB-LTC2-0A335","LED_Cree-PLCC4_2x2mm_CW",33.771840,-31.175960,0.000000,top
"D2","BAS40-05,215","SOT-23",61.645800,-39.217600,0.000000,top
"D3","LED","LED_0603_1608Metric",63.550800,-35.534600,-90.000000,top
"L2","3.3nH","C_0402_1005Metric",40.559840,-32.641600,90.000000,top
"MK1","SPM1423HM4H","ST_HLGA-6_3.76x4.72mm_P1.65mm",34.279840,-36.255960,0.000000,top
"R1","100K","R_0402_1005Metric",58.409840,-38.582600,180.000000,top
"R3","330","R_0402_1005Metric",32.882840,-39.811960,180.000000,top
"R5","1.6K","R_0402_1005Metric",58.409840,-39.598600,180.000000,top
"R6","1.13K","R_0402_1005Metric",68.503800,-32.144600,180.000000,top
"R7","10K","R_0402_1005Metric",68.503800,-31.128600,180.000000,top
"R8","1.18K","R_0402_1005Metric",69.265800,-34.645600,-90.000000,top
"R9","1K","R_0402_1005Metric",64.820800,-35.407600,-90.000000,top
"R10","100K","R_0402_1005Metric",62.153800,-32.357600,-90.000000,top
"R11","100K","R_0402_1005Metric",62.153800,-34.391600,-90.000000,top
"R13","330","R_0402_1005Metric",43.165880,-38.922960,-90.000000,top
"RN1","R_Pack04","R_Array_Convex_4x0402",36.438840,-30.540960,180.000000,top
"U2","W25Q32JVZP","WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm",58.343800,-32.867600,-90.000000,top
"U3","TLV75533PDBVR","SOT-23-5",66.725800,-38.709600,180.000000,top
"U4","BQ24078RGTR","VQFN-16-1EP_3x3mm_P0.5mm_EP1.45x1.45mm_ThermalVias",65.205800,-31.804600,-90.000000,top
"X1","32.768kHz","XTAL_3215_N",50.944200,-39.124960,0.000000,top
"X2","32MHz","BT-XTAL_2016_N",40.244880,-38.492600,-90.000000,top
