Designator,Mid X,Mid Y,Layer,Rotation
C1,65.4558,-36.0172,top,180
C2,65.3158,-39.878,top,180
C3,58.40984,-37.5666,top,180
C4,46.52884,-39.5986,top,-90
C5,47.54484,-39.5986,top,-90
C6,42.14988,-38.5826,top,-90
C7,38.97488,-36.2966,top,180
C8,38.84788,-35.2806,top,180
C9,48.4886,-39.3446,top,90
C10,40.40484,-40.4876,top,180
C11,50.1142,-40.75796,top,180
C12,52.0192,-40.75796,top,0
C13,38.72088,-38.8646,top,-90
C14,40.15084,-34.1376,top,0
C15,35.16884,-39.81196,top,0
C16,49.19584,-30.9626,top,90
C17,62.1538,-36.322,top,90
C18,60.7568,-36.8046,top,180
C19,68.5038,-33.2006,top,180
C20,62.1538,-30.4546,top,-90
C21,65.7352,-34.4424,top,-90
C22,39.06384,-32.1056,top,0
C23,65.3542,-40.9194,top,180
C24,53.7972,-38.4556,top,-90
C25,55.5498,-37.5158,top,0
C26,54.5846,-30.226,top,-90
C27,59.7408,-40.2336,top,-90
D1,33.77184,-31.17596,top,0
D3,63.373,-34.6964,top,-90
J1,40.513,-30.226,top,0
L1,68.1228,-37.973,top,90
L2,40.55984,-32.6416,top,90
MK1,34.27984,-36.25596,top,0
R1,58.40984,-38.5826,top,180
R2,58.0898,-41.0464,top,180
R3,32.88284,-39.81196,top,180
R4,53.6956,-40.5892,top,-90
R5,58.293,-39.6748,top,180
R6,68.5038,-32.1446,top,180
R7,68.5038,-31.1286,top,180
R8,68.5292,-34.2138,top,0
R9,64.5668,-34.417,top,-90
R10,62.1538,-32.3576,top,-90
R11,62.1538,-34.3916,top,-90
R12,55.5732,-36.576,top,0
R13,43.16588,-38.92296,top,-90
R14,62.3062,-40.0812,top,90
R15,63.3222,-40.0558,top,90
R16,62.9412,-38.4556,top,0
R17,54.4322,-32.0802,top,90
R18,60.706,-40.2336,top,-90
R19,48.1584,-29.4132,top,180
RN1,36.43884,-30.54096,top,270
S1,52.56784,-34.85896,top,-90
U1,45.65584,-34.6456,top,90
U2,58.3438,-32.8676,top,180
U3,65.4812,-37.9476,top,0
U4,65.2058,-31.4452,top,-90
U5,55.5244,-39.751,top,180
U6,51.816,-30.7086,top,180
X1,50.8762,-39.12496,top,0
X2,40.24488,-38.4926,top,-90
